word,Snow White and the Seven Dwarves,Harry Potter and the Order of the Phoenix,total
ho,78,3,81
im,25,55,80
dont,35,41,76
oh,47,14,61
go,39,20,59
know,17,40,57
come,18,30,48
yes,28,17,45
like,16,29,45
youre,12,32,44
right,10,34,44
see,13,27,40
good,18,22,40
happy,32,4,36
thats,10,25,35
hes,2,32,34
look,18,10,28
away,16,12,28
ive,4,23,27
ill,13,14,27
going,3,24,27
tell,6,20,26
make,12,14,26
back,2,23,25
whats,5,19,24
really,2,21,23
little,13,10,23
dark,1,22,23
cant,11,12,23
time,3,19,22
take,11,11,22
love,18,4,22
work,17,3,20
want,2,18,20
theres,9,11,20
youve,1,18,19
sure,6,13,19
shes,13,4,17
please,7,10,17
old,12,5,17
magic,6,11,17
find,10,7,17
day,13,4,17
youll,8,8,16
yeah,4,12,16
think,2,14,16
end,13,3,16
true,12,3,15
mean,6,9,15
door,12,3,15
done,1,14,15
theyre,4,10,14
sorry,2,12,14
need,1,13,14
kill,7,7,14
isnt,2,12,14
didnt,2,12,14
wont,6,7,13
wait,7,6,13
help,2,11,13
bye,10,3,13
bad,6,7,13
things,3,9,12
killed,1,11,12
home,10,2,12
hey,8,4,12
gone,3,9,12
death,5,7,12
children,4,8,12
way,3,8,11
use,2,9,11
thing,3,8,11
thanks,4,7,11
spoken,10,1,11
feel,3,8,11
black,3,8,11
wishing,7,3,10
stop,6,4,10
stay,3,7,10
maybe,5,5,10
lets,5,5,10
keep,2,8,10
house,6,4,10
hold,7,3,10
give,2,8,10
full,4,6,10
year,2,7,9
wish,7,2,9
watch,7,2,9
understand,1,8,9
room,5,4,9
remember,2,7,9
quite,3,6,9
place,4,5,9
hell,3,6,9
gonna,1,8,9
fine,5,4,9
big,3,6,9
today,5,3,8
thought,4,4,8
shall,2,6,8
run,7,1,8
night,5,3,8
hard,4,4,8
hand,2,6,8
dreams,7,1,8
doesnt,2,6,8
dead,3,5,8
believe,1,7,8
afraid,2,6,8
whos,2,5,7
talk,3,4,7
soon,4,3,7
mine,5,2,7
matter,2,5,7
mad,3,4,7
hands,4,3,7
couldnt,1,6,7
better,1,6,7
