word,Harry Potter and the Sorcerers Stone,Sabrina the Teenage Witch,total
oh,39,51,90
know,22,55,77
im,27,38,65
go,36,29,65
dont,21,44,65
come,29,31,60
back,41,18,59
right,23,29,52
youre,19,30,49
yeah,1,48,49
looks,43,3,46
like,18,28,46
see,31,13,44
okay,3,41,44
great,16,28,44
good,22,19,41
thats,21,19,40
hey,10,30,40
going,17,21,38
think,15,21,36
mean,7,24,31
look,17,14,31
time,9,21,30
want,10,19,29
cant,10,19,29
yes,12,16,28
whats,9,19,28
really,8,20,28
make,15,13,28
tell,12,15,27
hes,13,14,27
day,17,10,27
boy,23,4,27
two,18,8,26
sure,5,21,26
gonna,4,22,26
didnt,10,16,26
way,16,9,25
mr,21,4,25
man,19,6,25
comes,22,3,25
witch,6,17,23
theres,9,14,23
take,12,11,23
katie,1,22,23
thanks,5,17,22
maybe,6,16,22
love,1,20,21
later,19,2,21
shes,1,19,20
points,19,1,20
please,13,7,20
magic,7,13,20
goes,17,3,20
bit,18,2,20
birthday,6,13,19
away,15,3,18
uh,5,12,17
thing,5,12,17
ive,8,9,17
house,15,2,17
help,10,7,17
hands,16,1,17
gets,14,3,17
little,7,9,16
lets,6,10,16
class,14,2,16
whoa,13,2,15
wait,5,10,15
run,10,5,15
give,8,7,15
course,8,7,15
ball,14,1,15
thought,3,11,14
stop,11,3,14
spell,5,9,14
sorry,8,6,14
room,11,3,14
put,9,5,14
nice,5,9,14
girl,10,4,14
face,8,6,14
called,13,1,14
youve,6,7,13
witches,1,12,13
try,6,7,13
school,6,7,13
people,11,2,13
doing,7,6,13
cat,9,4,13
car,5,8,13
better,7,6,13
ask,2,11,13
appears,12,1,13
ah,10,3,13
walk,11,1,12
three,10,2,12
theyre,6,6,12
isnt,6,6,12
ill,3,9,12
game,11,1,12
bad,7,5,12
years,9,2,11
wrong,4,7,11
turn,8,3,11
talking,5,6,11
table,9,2,11
real,4,7,11
night,6,5,11
need,7,4,11
miss,2,9,11
looking,9,2,11
leave,10,1,11
keep,7,4,11
ground,9,2,11
excuse,8,3,11
doesnt,4,7,11
air,10,1,11
today,4,6,10
team,3,7,10
seen,5,5,10
move,6,4,10
mind,7,3,10
leaves,9,1,10
hair,9,1,10
fine,3,7,10
find,9,1,10
cake,8,2,10
boys,8,2,10
attention,8,2,10
youll,6,3,9
year,8,1,9
wow,3,6,9
win,2,7,9
start,6,3,9
running,7,2,9
parents,5,4,9
open,7,2,9
new,6,3,9
hello,7,2,9
follow,8,1,9
believe,3,6,9
work,6,2,8
woman,7,1,8
watch,5,3,8
true,3,5,8
starts,7,1,8
sort,4,4,8
side,7,1,8
nose,7,1,8
luck,5,3,8
listen,2,6,8
left,6,2,8
knew,6,2,8
hmm,4,4,8
heard,6,2,8
having,3,5,8
happened,4,4,8
full,4,4,8
friends,3,5,8
feel,2,6,8
eyes,7,1,8
eye,5,3,8
everybody,1,7,8
done,6,2,8
dog,5,3,8
best,6,2,8
wont,5,2,7
use,1,6,7
trouble,2,5,7
special,1,6,7
remember,5,2,7
probably,3,4,7
old,6,1,7
near,5,2,7
means,2,5,7
matter,2,5,7
lot,2,5,7
laugh,6,1,7
itll,3,4,7
idea,1,6,7
id,5,2,7
hear,1,6,7
havent,2,5,7
happy,4,3,7
gone,6,1,7
fly,6,1,7
feather,6,1,7
clear,4,3,7
worry,2,4,6
world,3,3,6
wish,3,3,6
whos,4,2,6
went,5,1,6
wake,5,1,6
um,1,5,6
trust,4,2,6
told,4,2,6
things,4,2,6
stick,4,2,6
stay,3,3,6
sleeping,5,1,6
problem,1,5,6
place,4,2,6
morning,3,3,6
making,4,2,6
long,5,1,6
locked,5,1,6
laughs,5,1,6
knows,4,2,6
join,4,2,6
hell,5,1,6
girls,3,3,6
found,3,3,6
flying,4,2,6
finally,4,2,6
feet,4,2,6
cool,1,5,6
close,2,4,6
big,1,5,6
asked,2,4,6
actually,1,5,6
witchcraft,2,3,5
white,3,2,5
week,4,1,5
unless,1,4,5
understand,4,1,5
trying,3,2,5
times,3,2,5
supposed,2,3,5
stupid,3,2,5
strange,1,4,5
somebody,1,4,5
smile,3,2,5
set,1,4,5
ready,2,3,5
point,1,4,5
perfect,2,3,5
ones,2,3,5
notice,1,4,5
mail,4,1,5
late,3,2,5
job,3,2,5
important,3,2,5
funny,4,1,5
food,3,2,5
fit,2,3,5
fast,4,1,5
expect,4,1,5
exactly,3,2,5
end,4,1,5
easy,2,3,5
coming,2,3,5
change,3,2,5
came,1,4,5
book,1,4,5
alright,1,4,5
young,3,1,4
youd,3,1,4
wouldnt,1,3,4
working,2,2,4
wheres,1,3,4
weve,1,3,4
water,3,1,4
wasnt,3,1,4
waiting,2,2,4
top,3,1,4
talk,1,3,4
tail,2,2,4
stand,3,1,4
soon,3,1,4
sister,1,3,4
short,3,1,4
seeing,3,1,4
screams,3,1,4
score,3,1,4
save,2,2,4
safe,1,3,4
roof,3,1,4
reason,1,3,4
read,3,1,4
race,1,3,4
present,2,2,4
painting,3,1,4
live,1,3,4
life,3,1,4
jump,2,2,4
hows,1,3,4
heres,3,1,4
helping,2,2,4
hasnt,2,2,4
happens,3,1,4
happening,2,2,4
happen,1,3,4
half,3,1,4
ha,1,3,4
gold,3,1,4
four,3,1,4
far,3,1,4
cut,3,1,4
catch,3,1,4
candles,3,1,4
call,2,2,4
bye,2,2,4
books,3,1,4
aunt,2,2,4
arent,3,1,4
worked,1,2,3
watching,1,2,3
turned,1,2,3
thrown,1,2,3
theyve,2,1,3
telling,2,1,3
spells,2,1,3
silly,2,1,3
sick,1,2,3
shouldnt,1,2,3
shall,1,2,3
serious,1,2,3
sent,2,1,3
secret,2,1,3
saw,1,2,3
rule,1,2,3
root,1,2,3
reach,2,1,3
rat,2,1,3
quite,2,1,3
potion,2,1,3
pool,1,2,3
paper,2,1,3
ow,2,1,3
odd,1,2,3
number,2,1,3
nope,1,2,3
needs,1,2,3
nasty,2,1,3
moves,2,1,3
money,2,1,3
minutes,2,1,3
minute,2,1,3
meet,2,1,3
mark,2,1,3
makes,1,2,3
made,1,2,3
lots,1,2,3
lost,2,1,3
losing,1,2,3
lose,1,2,3
looked,1,2,3
lead,2,1,3
kick,2,1,3
hope,1,2,3
hed,2,1,3
hard,2,1,3
forgotten,2,1,3
forbidden,2,1,3
floating,2,1,3
felt,1,2,3
feeling,1,2,3
expected,2,1,3
embarrassed,2,1,3
drive,2,1,3
double,2,1,3
definitely,1,2,3
case,1,2,3
careful,1,2,3
bunch,2,1,3
brown,2,1,3
broke,2,1,3
breath,2,1,3
borrow,2,1,3
bed,1,2,3
ahead,2,1,3
worth,1,1,2
tries,1,1,2
throwing,1,1,2
thinks,1,1,2
terrible,1,1,2
tears,1,1,2
tea,1,1,2
sweet,1,1,2
swear,1,1,2
susan,1,1,2
subject,1,1,2
starting,1,1,2
started,1,1,2
sight,1,1,2
shot,1,1,2
shh,1,1,2
separate,1,1,2
saving,1,1,2
rough,1,1,2
remembered,1,1,2
relax,1,1,2
question,1,1,2
properly,1,1,2
playing,1,1,2
player,1,1,2
music,1,1,2
moved,1,1,2
met,1,1,2
mad,1,1,2
lips,1,1,2
lined,1,1,2
lesson,1,1,2
lap,1,1,2
jack,1,1,2
insult,1,1,2
idiot,1,1,2
hurts,1,1,2
hurt,1,1,2
homework,1,1,2
holy,1,1,2
hold,1,1,2
hit,1,1,2
history,1,1,2
growing,1,1,2
greet,1,1,2
greatest,1,1,2
given,1,1,2
gift,1,1,2
gentlemen,1,1,2
gang,1,1,2
freak,1,1,2
fraid,1,1,2
forget,1,1,2
flames,1,1,2
five,1,1,2
field,1,1,2
fall,1,1,2
enjoy,1,1,2
ended,1,1,2
early,1,1,2
dry,1,1,2
die,1,1,2
deep,1,1,2
decided,1,1,2
couple,1,1,2
couldnt,1,1,2
concern,1,1,2
closer,1,1,2
circle,1,1,2
cats,1,1,2
burn,1,1,2
brilliant,1,1,2
born,1,1,2
blow,1,1,2
bell,1,1,2
beans,1,1,2
appreciate,1,1,2
absolutely,1,1,2
harry,376,0,376
ron,111,0,111
hagrid,103,0,103
hermione,84,0,84
vernon,53,0,53
dudley,46,0,46
mcgonagall,44,0,44
potter,34,0,34
snape,31,0,31
petunia,31,0,31
wand,30,0,30
head,30,0,30
gryffindor,29,0,29
neville,28,0,28
dumbledore,28,0,28
draco,26,0,26
students,25,0,25
troll,24,0,24
hogwarts,24,0,24
professor,23,0,23
door,23,0,23
hooch,22,0,22
broom,22,0,22
slytherin,21,0,21
ahh,18,0,18
quirrell,17,0,17
notices,17,0,17
oliver,16,0,16
letter,16,0,16
hat,16,0,16
percy,15,0,15
name,15,0,15
hand,15,0,15
wall,14,0,14
suddenly,14,0,14
snake,14,0,14
seeker,14,0,14
jumps,14,0,14
walks,13,0,13
turns,13,0,13
sorting,13,0,13
snitch,13,0,13
quidditch,13,0,13
outside,13,0,13
harrys,13,0,13
fred,13,0,13
family,13,0,13
walking,12,0,12
takes,12,0,12
stops,12,0,12
sir,12,0,12
seamus,12,0,12
grabs,12,0,12
weasley,11,0,11
sitting,11,0,11
nods,11,0,11
letters,11,0,11
large,11,0,11
hall,11,0,11
corridor,11,0,11
welcome,10,0,10
tower,10,0,10
puts,10,0,10
pulls,10,0,10
mrs,10,0,10
lee,10,0,10
glass,10,0,10
camera,10,0,10
begin,10,0,10
wood,9,0,9
sits,9,0,9
sees,9,0,9
owls,9,0,9
george,9,0,9
broomstick,9,0,9
begins,9,0,9
zooms,8,0,8
wizard,8,0,8
window,8,0,8
version,8,0,8
vault,8,0,8
train,8,0,8
stairs,8,0,8
